type=alexnet, quant_method=linear, param_bits=8, bn_bits=32,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=32,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=32,           fwd_bits=8, overflow_rate=0.0, acc1=0.5455, acc5=0.7780
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.5455, acc5=0.7780
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.5471, acc5=0.7794
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.5000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.5471, acc5=0.7794
type=alexnet, quant_method=linear, param_bits=32, bn_bits=32,           fwd_bits=32, overflow_rate=0.0, acc1=0.5652, acc5=0.7907
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.5471, acc5=0.7794
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.5338, acc5=0.7659
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.5319, acc5=0.7657
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7087, acc5=0.9015
type=resnet50, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0010, acc5=0.0048
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7087, acc5=0.9015
type=resnet50, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0010, acc5=0.0048
type=resnet50, quant_method=linear, param_bits=32, bn_bits=32,           fwd_bits=32, overflow_rate=0.0, acc1=0.7613, acc5=0.9286
type=resnet101, quant_method=linear, param_bits=32, bn_bits=32,           fwd_bits=32, overflow_rate=0.0, acc1=0.7737, acc5=0.9355
type=resnet50, quant_method=linear, param_bits=16, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0010, acc5=0.0050
type=resnet50, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=32, overflow_rate=0.0, acc1=0.0010, acc5=0.0051
type=resnet50, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=32, overflow_rate=0.0, acc1=0.7613, acc5=0.9286
type=resnet50, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=31, overflow_rate=0.0, acc1=0.0011, acc5=0.0052
type=resnet50, quant_method=linear, param_bits=31, bn_bits=8,           fwd_bits=31, overflow_rate=0.0, acc1=0.0010, acc5=0.0050
